decimal_date,monthly_average,Unnamed: 2,fips,county_name
1958.2027,315.71,,nan,
1958.2877,317.45,,nan,
1958.3699,317.51,,nan,
1958.4548,317.27,,nan,
1958.537,315.87,,nan,
1958.6219,314.93,,nan,
1958.7068,313.21,,nan,
1958.789,312.42,,nan,
1958.874,313.33,,nan,
1958.9562,314.67,,nan,
1959.0411,315.58,,nan,
1959.126,316.49,,nan,
1959.2027,316.65,,nan,
1959.2877,317.72,,nan,
1959.3699,318.29,,nan,
1959.4548,318.15,,nan,
1959.537,316.54,,nan,
1959.6219,314.8,,nan,
1959.7068,313.84,,nan,
1959.789,313.33,,nan,
1959.874,314.81,,nan,
1959.9562,315.58,,nan,
1960.041,316.43,,nan,
1960.1257,316.98,,nan,
1960.2049,317.58,,nan,
1960.2896,319.03,,nan,
1960.3716,320.03,,nan,
1960.4563,319.58,,nan,
1960.5383,318.18,,nan,
1960.623,315.9,,nan,
1960.7077,314.17,,nan,
1960.7896,313.83,,nan,
1960.8743,315,,nan,
1960.9563,316.19,,nan,
1961.0411,316.89,,nan,
1961.126,317.7,,nan,
1961.2027,318.54,,nan,
1961.2877,319.48,,nan,
1961.3699,320.58,,nan,
1961.4548,319.77,,nan,
1961.537,318.56,,nan,
1961.6219,316.79,,nan,
1961.7068,314.99,,nan,
1961.789,315.31,,nan,
1961.874,316.1,,nan,
1961.9562,317.01,,nan,
1962.0411,317.94,,nan,
1962.126,318.55,,nan,
1962.2027,319.68,,nan,
1962.2877,320.57,,nan,
1962.3699,321.02,,nan,
1962.4548,320.62,,nan,
1962.537,319.61,,nan,
1962.6219,317.4,,nan,
1962.7068,316.24,,nan,
1962.789,315.42,,nan,
1962.874,316.69,,nan,
1962.9562,317.7,,nan,
1963.0411,318.74,,nan,
1963.126,319.07,,nan,
1963.2027,319.86,,nan,
1963.2877,321.38,,nan,
1963.3699,322.24,,nan,
1963.4548,321.49,,nan,
1963.537,319.74,,nan,
1963.6219,317.77,,nan,
1963.7068,316.21,,nan,
1963.789,315.99,,nan,
